,age,degree,gender,FY,race,tot_doll
434,Mid,MD,Female,1990,Asian,1117880.19
435,Early,MD-PhD,Female,1990,Asian,607692.81
436,Mid,MD-PhD,Female,1990,Asian,1019133.8400000001
437,Early,PhD,Female,1990,Asian,29679009.78
438,Mid,PhD,Female,1990,Asian,9598113.88
439,Early,MD,Male,1990,Asian,26191924.31
440,Mid,MD,Male,1990,Asian,13971652.14
441,Early,MD-PhD,Male,1990,Asian,13228435.54
442,Late,MD-PhD,Male,1990,Asian,12273618.95
443,Mid,MD-PhD,Male,1990,Asian,9999172.81
444,Early,Other,Male,1990,Asian,842904.74
445,Mid,Other,Male,1990,Asian,307340.48
446,Early,PhD,Male,1990,Asian,108259568.25
447,Late,PhD,Male,1990,Asian,13267536.62
448,Mid,PhD,Male,1990,Asian,89954564.11
449,Early,MD,Female,1991,Asian,7666954.77
450,Mid,MD,Female,1991,Asian,1550598.29
451,Early,MD-PhD,Female,1991,Asian,1194856.68
452,Mid,MD-PhD,Female,1991,Asian,1130208.34
453,Early,PhD,Female,1991,Asian,29707026.52
454,Late,PhD,Female,1991,Asian,117906.89
455,Mid,PhD,Female,1991,Asian,14665165.24
456,Early,MD,Male,1991,Asian,24804295.11
457,Mid,MD,Male,1991,Asian,20429866.79
458,Early,MD-PhD,Male,1991,Asian,17597978.95
459,Late,MD-PhD,Male,1991,Asian,11957136.280000001
460,Mid,MD-PhD,Male,1991,Asian,9491969.58
461,Early,Other,Male,1991,Asian,505009.38
462,Mid,Other,Male,1991,Asian,392757.3
463,Early,PhD,Male,1991,Asian,105688552.34
464,Late,PhD,Male,1991,Asian,17401100.45
465,Mid,PhD,Male,1991,Asian,105440513.93
466,Early,MD,Female,1992,Asian,12313610.209999999
467,Mid,MD,Female,1992,Asian,1010430.9099999999
468,Early,MD-PhD,Female,1992,Asian,1575832.45
469,Late,MD-PhD,Female,1992,Asian,474704.03
470,Mid,MD-PhD,Female,1992,Asian,819193.29
471,Early,PhD,Female,1992,Asian,35725701.39
472,Late,PhD,Female,1992,Asian,505433.4
473,Mid,PhD,Female,1992,Asian,19409932.240000002
474,Early,MD,Male,1992,Asian,27319315.61
475,Late,MD,Male,1992,Asian,806640.45
476,Mid,MD,Male,1992,Asian,24322054.2
477,Early,MD-PhD,Male,1992,Asian,23628615.14
478,Late,MD-PhD,Male,1992,Asian,11146693.489999998
479,Mid,MD-PhD,Male,1992,Asian,10154012.28
480,Early,Other,Male,1992,Asian,417895.56
481,Mid,Other,Male,1992,Asian,498427.48
482,Early,PhD,Male,1992,Asian,118928885.88
483,Late,PhD,Male,1992,Asian,16137066.32
484,Mid,PhD,Male,1992,Asian,120201787.96
485,Early,MD,Female,1993,Asian,12590991.59
486,Mid,MD,Female,1993,Asian,1638213.96
487,Early,MD-PhD,Female,1993,Asian,2458917.38
488,Late,MD-PhD,Female,1993,Asian,472415.82
489,Mid,MD-PhD,Female,1993,Asian,836890.44
490,Early,PhD,Female,1993,Asian,34593966.11
491,Late,PhD,Female,1993,Asian,799058.8200000001
492,Mid,PhD,Female,1993,Asian,26321233.91
493,Early,MD,Male,1993,Asian,27619631.62
494,Late,MD,Male,1993,Asian,3703285.5
495,Mid,MD,Male,1993,Asian,27269131.76
496,Early,MD-PhD,Male,1993,Asian,25477809.29
497,Late,MD-PhD,Male,1993,Asian,12026627.27
498,Mid,MD-PhD,Male,1993,Asian,11289344.26
499,Early,Other,Male,1993,Asian,489675.14
500,Mid,Other,Male,1993,Asian,522682.53
501,Early,PhD,Male,1993,Asian,111228965.23
502,Late,PhD,Male,1993,Asian,20746210.55
503,Mid,PhD,Male,1993,Asian,134499099.06
504,Early,MD,Female,1994,Asian,10769341.709999999
505,Mid,MD,Female,1994,Asian,4092040.07
506,Early,MD-PhD,Female,1994,Asian,2465883.34
507,Late,MD-PhD,Female,1994,Asian,470368.67
508,Mid,MD-PhD,Female,1994,Asian,1220299.3
509,Early,PhD,Female,1994,Asian,35935743.33
510,Late,PhD,Female,1994,Asian,1901427.47
511,Mid,PhD,Female,1994,Asian,28311359.0
512,Early,MD,Male,1994,Asian,31384656.62
513,Late,MD,Male,1994,Asian,3626942.38
514,Mid,MD,Male,1994,Asian,29705249.67
515,Early,MD-PhD,Male,1994,Asian,28174119.97
516,Late,MD-PhD,Male,1994,Asian,13972467.03
517,Mid,MD-PhD,Male,1994,Asian,12079466.41
518,Early,Other,Male,1994,Asian,376249.94
519,Mid,Other,Male,1994,Asian,527794.44
520,Early,PhD,Male,1994,Asian,105186618.96
521,Late,PhD,Male,1994,Asian,20300460.27
522,Mid,PhD,Male,1994,Asian,140775232.13
523,Early,MD,Female,1995,Asian,13438854.63
524,Mid,MD,Female,1995,Asian,6150421.55
525,Early,MD-PhD,Female,1995,Asian,4352197.73
526,Late,MD-PhD,Female,1995,Asian,476559.73
527,Mid,MD-PhD,Female,1995,Asian,1903306.57
528,Early,PhD,Female,1995,Asian,35732434.59
529,Late,PhD,Female,1995,Asian,1620183.98
530,Mid,PhD,Female,1995,Asian,33759117.589999996
531,Early,MD,Male,1995,Asian,33935515.44
532,Late,MD,Male,1995,Asian,2878931.7
533,Mid,MD,Male,1995,Asian,35090539.910000004
534,Early,MD-PhD,Male,1995,Asian,36849586.5
535,Late,MD-PhD,Male,1995,Asian,13455879.69
536,Mid,MD-PhD,Male,1995,Asian,15867747.76
537,Mid,Other,Male,1995,Asian,523471.13
538,Early,PhD,Male,1995,Asian,120272734.85
539,Late,PhD,Male,1995,Asian,31605328.31
540,Mid,PhD,Male,1995,Asian,135270568.21
541,Early,MD,Female,1996,Asian,13402352.07
542,Mid,MD,Female,1996,Asian,10647011.14
543,Early,MD-PhD,Female,1996,Asian,4723648.21
544,Late,MD-PhD,Female,1996,Asian,1052370.77
545,Mid,MD-PhD,Female,1996,Asian,1864138.4
546,Early,PhD,Female,1996,Asian,42873015.57
547,Late,PhD,Female,1996,Asian,1925637.55
548,Mid,PhD,Female,1996,Asian,40597168.96
549,Early,MD,Male,1996,Asian,35498859.08
550,Late,MD,Male,1996,Asian,3662612.73
551,Mid,MD,Male,1996,Asian,26691248.38
552,Early,MD-PhD,Male,1996,Asian,34617658.71
553,Late,MD-PhD,Male,1996,Asian,14103641.98
554,Mid,MD-PhD,Male,1996,Asian,19779474.72
555,Early,Other,Male,1996,Asian,415774.04
556,Mid,Other,Male,1996,Asian,522881.38
557,Early,PhD,Male,1996,Asian,125685657.8
558,Late,PhD,Male,1996,Asian,36082997.87
559,Mid,PhD,Male,1996,Asian,149183543.93
560,Early,MD,Female,1997,Asian,13174592.67
561,Late,MD,Female,1997,Asian,1146716.01
562,Mid,MD,Female,1997,Asian,11633578.370000001
563,Early,MD-PhD,Female,1997,Asian,7911065.27
564,Late,MD-PhD,Female,1997,Asian,1061530.9
565,Mid,MD-PhD,Female,1997,Asian,2447549.07
566,Early,Other,Female,1997,Asian,19206.56
567,Early,PhD,Female,1997,Asian,54149407.32
568,Late,PhD,Female,1997,Asian,3282001.91
569,Mid,PhD,Female,1997,Asian,39808822.68
570,Early,MD,Male,1997,Asian,37799357.77
571,Late,MD,Male,1997,Asian,4552038.55
572,Mid,MD,Male,1997,Asian,35637717.06
573,Early,MD-PhD,Male,1997,Asian,39184381.21
574,Late,MD-PhD,Male,1997,Asian,13926559.31
575,Mid,MD-PhD,Male,1997,Asian,30997110.150000002
576,Early,Other,Male,1997,Asian,420068.95
577,Mid,Other,Male,1997,Asian,546088.48
578,Early,PhD,Male,1997,Asian,147945841.93
579,Late,PhD,Male,1997,Asian,42651844.05
580,Mid,PhD,Male,1997,Asian,163358604.68
581,Early,MD,Female,1998,Asian,10818818.53
582,Late,MD,Female,1998,Asian,800548.97
583,Mid,MD,Female,1998,Asian,12867247.09
584,Early,MD-PhD,Female,1998,Asian,8539586.18
585,Late,MD-PhD,Female,1998,Asian,1061046.04
586,Mid,MD-PhD,Female,1998,Asian,2602341.66
587,Early,PhD,Female,1998,Asian,58509289.62
588,Late,PhD,Female,1998,Asian,8280090.37
589,Mid,PhD,Female,1998,Asian,50757800.74
590,Early,MD,Male,1998,Asian,34648491.42
591,Late,MD,Male,1998,Asian,4713939.95
592,Mid,MD,Male,1998,Asian,48657546.51
593,Early,MD-PhD,Male,1998,Asian,50408911.92
594,Late,MD-PhD,Male,1998,Asian,11896476.03
595,Mid,MD-PhD,Male,1998,Asian,40380465.51
596,Early,Other,Male,1998,Asian,422380.82
597,Mid,Other,Male,1998,Asian,693703.5800000001
598,Early,PhD,Male,1998,Asian,184831221.41
599,Late,PhD,Male,1998,Asian,49816264.31
600,Mid,PhD,Male,1998,Asian,193853697.39
601,Early,MD,Female,1999,Asian,15171514.35
602,Late,MD,Female,1999,Asian,418223.57
603,Mid,MD,Female,1999,Asian,20337053.11
604,Early,MD-PhD,Female,1999,Asian,13856277.68
605,Late,MD-PhD,Female,1999,Asian,778780.14
606,Mid,MD-PhD,Female,1999,Asian,3070560.42
607,Early,PhD,Female,1999,Asian,62924217.4
608,Late,PhD,Female,1999,Asian,8697561.67
609,Mid,PhD,Female,1999,Asian,63360523.47
610,Early,MD,Male,1999,Asian,48729658.71
611,Late,MD,Male,1999,Asian,9158785.620000001
612,Mid,MD,Male,1999,Asian,51605560.660000004
613,Early,MD-PhD,Male,1999,Asian,66469323.77
614,Late,MD-PhD,Male,1999,Asian,11757758.75
615,Mid,MD-PhD,Male,1999,Asian,41149250.35
616,Early,Other,Male,1999,Asian,421720.78
617,Late,Other,Male,1999,Asian,148202.4
618,Mid,Other,Male,1999,Asian,543149.16
619,Early,PhD,Male,1999,Asian,214649113.5
620,Late,PhD,Male,1999,Asian,55092940.34
621,Mid,PhD,Male,1999,Asian,213117257.28
622,Early,MD,Female,2000,Asian,18316744.8
623,Late,MD,Female,2000,Asian,372892.47
624,Mid,MD,Female,2000,Asian,25044700.169999998
625,Early,MD-PhD,Female,2000,Asian,13466290.290000001
626,Late,MD-PhD,Female,2000,Asian,985706.77
627,Mid,MD-PhD,Female,2000,Asian,6830107.91
628,Early,PhD,Female,2000,Asian,73661969.03
629,Late,PhD,Female,2000,Asian,13179622.969999999
630,Mid,PhD,Female,2000,Asian,73117692.57000001
631,Early,MD,Male,2000,Asian,51758722.68
632,Late,MD,Male,2000,Asian,10624275.65
633,Mid,MD,Male,2000,Asian,62527512.49
634,Early,MD-PhD,Male,2000,Asian,82254803.13
635,Late,MD-PhD,Male,2000,Asian,12937965.7
636,Mid,MD-PhD,Male,2000,Asian,54864634.81
637,Early,Other,Male,2000,Asian,4715002.65
638,Mid,Other,Male,2000,Asian,539341.89
639,Early,PhD,Male,2000,Asian,253124602.04
640,Late,PhD,Male,2000,Asian,63565495.21
641,Mid,PhD,Male,2000,Asian,243631115.23
642,Early,MD,Female,2001,Asian,22455020.68
643,Late,MD,Female,2001,Asian,1404511.0
644,Mid,MD,Female,2001,Asian,29496951.8
645,Early,MD-PhD,Female,2001,Asian,22392592.04
646,Late,MD-PhD,Female,2001,Asian,1023977.96
647,Mid,MD-PhD,Female,2001,Asian,8719404.66
648,Early,PhD,Female,2001,Asian,90113396.06
649,Late,PhD,Female,2001,Asian,14056109.99
650,Mid,PhD,Female,2001,Asian,73816735.66
651,Early,MD,Male,2001,Asian,62677605.96
652,Late,MD,Male,2001,Asian,17212369.73
653,Mid,MD,Male,2001,Asian,73034222.58
654,Early,MD-PhD,Male,2001,Asian,98150074.0
655,Late,MD-PhD,Male,2001,Asian,18168411.439999998
656,Mid,MD-PhD,Male,2001,Asian,61000198.25
657,Late,Other,Male,2001,Asian,605719.62
658,Mid,Other,Male,2001,Asian,537648.46
659,Early,PhD,Male,2001,Asian,286822805.64
660,Late,PhD,Male,2001,Asian,73183015.84
661,Mid,PhD,Male,2001,Asian,259835334.88
662,Early,MD,Female,2002,Asian,25040707.57
663,Late,MD,Female,2002,Asian,1359367.77
664,Mid,MD,Female,2002,Asian,29946979.55
665,Early,MD-PhD,Female,2002,Asian,23073178.53
666,Late,MD-PhD,Female,2002,Asian,1002863.8700000001
667,Mid,MD-PhD,Female,2002,Asian,11121580.26
668,Early,PhD,Female,2002,Asian,95761219.71
669,Late,PhD,Female,2002,Asian,13475221.15
670,Mid,PhD,Female,2002,Asian,89135302.17
671,Early,MD,Male,2002,Asian,65257977.34
672,Late,MD,Male,2002,Asian,16156379.879999999
673,Mid,MD,Male,2002,Asian,79665079.19
674,Early,MD-PhD,Male,2002,Asian,106954520.82000001
675,Late,MD-PhD,Male,2002,Asian,22050009.04
676,Mid,MD-PhD,Male,2002,Asian,69655374.98
677,Early,Other,Male,2002,Asian,728375.73
678,Late,Other,Male,2002,Asian,598640.16
679,Mid,Other,Male,2002,Asian,953784.3600000001
680,Early,PhD,Male,2002,Asian,345264259.74
681,Late,PhD,Male,2002,Asian,94117431.38
682,Mid,PhD,Male,2002,Asian,300530105.71
683,Early,MD,Female,2003,Asian,30524146.35
684,Late,MD,Female,2003,Asian,2768019.64
685,Mid,MD,Female,2003,Asian,37436800.06
686,Early,MD-PhD,Female,2003,Asian,26445413.96
687,Late,MD-PhD,Female,2003,Asian,810928.24
688,Mid,MD-PhD,Female,2003,Asian,16501935.49
689,Early,Other,Female,2003,Asian,283244.37
690,Early,PhD,Female,2003,Asian,127005066.17
691,Late,PhD,Female,2003,Asian,13353324.280000001
692,Mid,PhD,Female,2003,Asian,96917478.69
693,Early,MD,Male,2003,Asian,77822587.64
694,Late,MD,Male,2003,Asian,14766048.67
695,Mid,MD,Male,2003,Asian,89281686.7
696,Early,MD-PhD,Male,2003,Asian,123843769.11
697,Late,MD-PhD,Male,2003,Asian,22276789.64
698,Mid,MD-PhD,Male,2003,Asian,88485978.17
699,Early,Other,Male,2003,Asian,1493282.8
700,Late,Other,Male,2003,Asian,578312.0
701,Mid,Other,Male,2003,Asian,936993.17
702,Early,PhD,Male,2003,Asian,402417023.73
703,Late,PhD,Male,2003,Asian,107172766.26
704,Mid,PhD,Male,2003,Asian,336326182.9
705,Early,MD,Female,2004,Asian,36393299.81
706,Late,MD,Female,2004,Asian,2881124.3200000003
707,Mid,MD,Female,2004,Asian,35250958.91
708,Early,MD-PhD,Female,2004,Asian,24337892.02
709,Late,MD-PhD,Female,2004,Asian,941395.3400000001
710,Mid,MD-PhD,Female,2004,Asian,18571525.15
711,Early,Other,Female,2004,Asian,815893.7000000001
712,Mid,Other,Female,2004,Asian,546377.2
713,Early,PhD,Female,2004,Asian,137318340.87
714,Late,PhD,Female,2004,Asian,20826214.51
715,Mid,PhD,Female,2004,Asian,105284535.42999999
716,Early,MD,Male,2004,Asian,80760579.22
717,Late,MD,Male,2004,Asian,19947347.25
718,Mid,MD,Male,2004,Asian,108327676.99
719,Early,MD-PhD,Male,2004,Asian,143016902.97
720,Late,MD-PhD,Male,2004,Asian,16297924.290000001
721,Mid,MD-PhD,Male,2004,Asian,118251343.05
722,Late,Other,Male,2004,Asian,701048.79
723,Mid,Other,Male,2004,Asian,2465411.42
724,Early,PhD,Male,2004,Asian,437622350.34
725,Late,PhD,Male,2004,Asian,127596321.13
726,Mid,PhD,Male,2004,Asian,363306868.41
727,Early,MD,Female,2005,Asian,30953032.74
728,Late,MD,Female,2005,Asian,1948205.33
729,Mid,MD,Female,2005,Asian,48127125.04
730,Early,MD-PhD,Female,2005,Asian,24308289.74
731,Late,MD-PhD,Female,2005,Asian,373870.6
732,Mid,MD-PhD,Female,2005,Asian,20835356.65
733,Early,Other,Female,2005,Asian,913524.6599999999
734,Mid,Other,Female,2005,Asian,757150.16
735,Early,PhD,Female,2005,Asian,142998960.99
736,Late,PhD,Female,2005,Asian,27483263.26
737,Mid,PhD,Female,2005,Asian,109093282.7
738,Early,MD,Male,2005,Asian,76882571.16
739,Late,MD,Male,2005,Asian,19889641.06
740,Mid,MD,Male,2005,Asian,132293163.79
741,Early,MD-PhD,Male,2005,Asian,133504121.22
742,Late,MD-PhD,Male,2005,Asian,14049379.82
743,Mid,MD-PhD,Male,2005,Asian,129680299.95
744,Early,Other,Male,2005,Asian,591862.78
745,Late,Other,Male,2005,Asian,1450622.33
746,Mid,Other,Male,2005,Asian,1699211.9
747,Early,PhD,Male,2005,Asian,427978645.29
748,Late,PhD,Male,2005,Asian,145895209.98
749,Mid,PhD,Male,2005,Asian,394754023.08
750,Early,MD,Female,2006,Asian,29618988.29
751,Late,MD,Female,2006,Asian,983910.04
752,Mid,MD,Female,2006,Asian,50577800.64
753,Early,MD-PhD,Female,2006,Asian,28012756.43
754,Late,MD-PhD,Female,2006,Asian,704967.4299999999
755,Mid,MD-PhD,Female,2006,Asian,21820015.44
756,Early,Other,Female,2006,Asian,1129381.12
757,Mid,Other,Female,2006,Asian,702064.05
758,Early,PhD,Female,2006,Asian,143284694.5
759,Late,PhD,Female,2006,Asian,28854999.47
760,Mid,PhD,Female,2006,Asian,111805344.67
761,Early,MD,Male,2006,Asian,75457811.84
762,Late,MD,Male,2006,Asian,25400390.24
763,Mid,MD,Male,2006,Asian,122077198.41
764,Early,MD-PhD,Male,2006,Asian,127547387.95
765,Late,MD-PhD,Male,2006,Asian,17800647.16
766,Mid,MD-PhD,Male,2006,Asian,127590759.64
767,Early,Other,Male,2006,Asian,574271.99
768,Late,Other,Male,2006,Asian,676444.1000000001
769,Mid,Other,Male,2006,Asian,1044548.1599999999
770,Early,PhD,Male,2006,Asian,435989944.01
771,Late,PhD,Male,2006,Asian,139772202.26
772,Mid,PhD,Male,2006,Asian,374164913.74
773,Early,MD,Female,2007,Asian,28040059.63
774,Late,MD,Female,2007,Asian,821378.16
775,Mid,MD,Female,2007,Asian,44049272.22
776,Early,MD-PhD,Female,2007,Asian,26932642.5
777,Late,MD-PhD,Female,2007,Asian,659501.47
778,Mid,MD-PhD,Female,2007,Asian,25390340.58
779,Early,Other,Female,2007,Asian,477583.23
780,Early,PhD,Female,2007,Asian,155060513.48
781,Late,PhD,Female,2007,Asian,29849074.47
782,Mid,PhD,Female,2007,Asian,118778623.68
783,Early,MD,Male,2007,Asian,74648539.09
784,Late,MD,Male,2007,Asian,28419733.75
785,Mid,MD,Male,2007,Asian,128242042.2
786,Early,MD-PhD,Male,2007,Asian,119534570.26
787,Late,MD-PhD,Male,2007,Asian,16012074.48
788,Mid,MD-PhD,Male,2007,Asian,142052902.14
789,Early,Other,Male,2007,Asian,287460.53
790,Late,Other,Male,2007,Asian,415727.09
791,Mid,Other,Male,2007,Asian,1458135.13
792,Early,PhD,Male,2007,Asian,438455691.13
793,Late,PhD,Male,2007,Asian,144675544.65
794,Mid,PhD,Male,2007,Asian,373771916.06
795,Early,MD,Female,2008,Asian,27967306.35
796,Late,MD,Female,2008,Asian,1592209.1099999999
797,Mid,MD,Female,2008,Asian,50080761.92
798,Early,MD-PhD,Female,2008,Asian,30461459.63
799,Late,MD-PhD,Female,2008,Asian,875819.72
800,Mid,MD-PhD,Female,2008,Asian,29672437.07
801,Early,Other,Female,2008,Asian,1590647.78
802,Early,PhD,Female,2008,Asian,149128282.12
803,Late,PhD,Female,2008,Asian,28654843.14
804,Mid,PhD,Female,2008,Asian,131404017.22
805,Early,MD,Male,2008,Asian,81033348.85
806,Late,MD,Male,2008,Asian,28649128.11
807,Mid,MD,Male,2008,Asian,120142019.73
808,Early,MD-PhD,Male,2008,Asian,120331167.24
809,Late,MD-PhD,Male,2008,Asian,16631184.82
810,Mid,MD-PhD,Male,2008,Asian,163438698.85
811,Early,Other,Male,2008,Asian,370477.53
812,Late,Other,Male,2008,Asian,940265.8200000001
813,Mid,Other,Male,2008,Asian,568215.37
814,Early,PhD,Male,2008,Asian,443572372.41
815,Late,PhD,Male,2008,Asian,146526515.02
816,Mid,PhD,Male,2008,Asian,388385663.23
817,Early,MD,Female,2009,Asian,32942734.66
818,Late,MD,Female,2009,Asian,3752400.94
819,Mid,MD,Female,2009,Asian,46301782.51
820,Early,MD-PhD,Female,2009,Asian,29489038.55
821,Late,MD-PhD,Female,2009,Asian,1924406.46
822,Mid,MD-PhD,Female,2009,Asian,33937020.05
823,Early,Other,Female,2009,Asian,930939.21
824,Mid,Other,Female,2009,Asian,452177.71
825,Early,PhD,Female,2009,Asian,159694844.87
826,Late,PhD,Female,2009,Asian,25744726.900000002
827,Mid,PhD,Female,2009,Asian,150191087.39
828,Early,MD,Male,2009,Asian,81391866.35
829,Late,MD,Male,2009,Asian,26919549.16
830,Mid,MD,Male,2009,Asian,137332728.71
831,Early,MD-PhD,Male,2009,Asian,96149171.49
832,Late,MD-PhD,Male,2009,Asian,18870233.84
833,Mid,MD-PhD,Male,2009,Asian,178438114.85
834,Early,Other,Male,2009,Asian,1121959.8499999999
835,Late,Other,Male,2009,Asian,895263.8400000001
836,Mid,Other,Male,2009,Asian,1272619.27
837,Early,PhD,Male,2009,Asian,433750791.59
838,Late,PhD,Male,2009,Asian,149531242.2
839,Mid,PhD,Male,2009,Asian,440230615.62
840,Early,MD,Female,2010,Asian,41451125.01
841,Late,MD,Female,2010,Asian,5105626.34
842,Mid,MD,Female,2010,Asian,47570467.480000004
843,Early,MD-PhD,Female,2010,Asian,29990436.76
844,Late,MD-PhD,Female,2010,Asian,2886759.61
845,Mid,MD-PhD,Female,2010,Asian,46252012.1
846,Early,Other,Female,2010,Asian,726365.74
847,Mid,Other,Female,2010,Asian,1277127.49
848,Early,PhD,Female,2010,Asian,175857921.38
849,Late,PhD,Female,2010,Asian,25873714.64
850,Mid,PhD,Female,2010,Asian,163019314.55
851,Early,MD,Male,2010,Asian,84101411.77
852,Late,MD,Male,2010,Asian,28252718.27
853,Mid,MD,Male,2010,Asian,151234718.8
854,Early,MD-PhD,Male,2010,Asian,98075762.52
855,Late,MD-PhD,Male,2010,Asian,20214835.32
856,Mid,MD-PhD,Male,2010,Asian,206905811.2
857,Early,Other,Male,2010,Asian,927412.65
858,Late,Other,Male,2010,Asian,1212690.38
859,Mid,Other,Male,2010,Asian,2342061.65
860,Early,PhD,Male,2010,Asian,476272755.95
861,Late,PhD,Male,2010,Asian,150693276.47
862,Mid,PhD,Male,2010,Asian,492819072.79
863,Early,MD,Female,2011,Asian,41016018.28
864,Late,MD,Female,2011,Asian,9919762.799999999
865,Mid,MD,Female,2011,Asian,42735161.28
866,Early,MD-PhD,Female,2011,Asian,36109924.02
867,Late,MD-PhD,Female,2011,Asian,2482382.06
868,Mid,MD-PhD,Female,2011,Asian,49553460.9
869,Early,Other,Female,2011,Asian,1195677.34
870,Late,Other,Female,2011,Asian,145910.73
871,Mid,Other,Female,2011,Asian,1331880.24
872,Early,PhD,Female,2011,Asian,182538560.37
873,Late,PhD,Female,2011,Asian,37210386.0
874,Mid,PhD,Female,2011,Asian,152738733.98
875,Early,MD,Male,2011,Asian,94353088.52
876,Late,MD,Male,2011,Asian,40981537.85
877,Mid,MD,Male,2011,Asian,150440090.54
878,Early,MD-PhD,Male,2011,Asian,81265760.67
879,Late,MD-PhD,Male,2011,Asian,25396233.47
880,Mid,MD-PhD,Male,2011,Asian,235819361.32
881,Early,Other,Male,2011,Asian,1307053.44
882,Late,Other,Male,2011,Asian,1191630.6400000001
883,Mid,Other,Male,2011,Asian,1803935.6199999999
884,Early,PhD,Male,2011,Asian,474604568.81
885,Late,PhD,Male,2011,Asian,159729017.81
886,Mid,PhD,Male,2011,Asian,498467572.52
887,Early,MD,Female,2012,Asian,44583344.96
888,Late,MD,Female,2012,Asian,11157037.85
889,Mid,MD,Female,2012,Asian,48131863.16
890,Early,MD-PhD,Female,2012,Asian,34296790.19
891,Late,MD-PhD,Female,2012,Asian,3563960.78
892,Mid,MD-PhD,Female,2012,Asian,50977935.92
893,Early,Other,Female,2012,Asian,1104889.77
894,Late,Other,Female,2012,Asian,140965.26
895,Mid,Other,Female,2012,Asian,622747.59
896,Early,PhD,Female,2012,Asian,200794082.79
897,Late,PhD,Female,2012,Asian,35402343.63
898,Mid,PhD,Female,2012,Asian,174337262.55
899,Early,MD,Male,2012,Asian,88899817.04
900,Late,MD,Male,2012,Asian,33997789.92
901,Mid,MD,Male,2012,Asian,141884587.48
902,Early,MD-PhD,Male,2012,Asian,79871772.03
903,Late,MD-PhD,Male,2012,Asian,29302083.32
904,Mid,MD-PhD,Male,2012,Asian,228684149.56
905,Early,Other,Male,2012,Asian,1848624.24
906,Late,Other,Male,2012,Asian,1368757.3900000001
907,Mid,Other,Male,2012,Asian,2340510.52
908,Early,PhD,Male,2012,Asian,460718121.88
909,Late,PhD,Male,2012,Asian,171644272.22
910,Mid,PhD,Male,2012,Asian,524703613.8
911,Early,MD,Female,2013,Asian,31356130.46
912,Late,MD,Female,2013,Asian,6317571.95
913,Mid,MD,Female,2013,Asian,53941355.15
914,Early,MD-PhD,Female,2013,Asian,30862474.36
915,Late,MD-PhD,Female,2013,Asian,5351794.8100000005
916,Mid,MD-PhD,Female,2013,Asian,49470030.14
917,Early,Other,Female,2013,Asian,1506773.13
918,Late,Other,Female,2013,Asian,129462.95
919,Mid,Other,Female,2013,Asian,396646.39
920,Early,PhD,Female,2013,Asian,180362199.5
921,Late,PhD,Female,2013,Asian,38331517.52
922,Mid,PhD,Female,2013,Asian,168305084.05
923,Early,MD,Male,2013,Asian,91508913.82
924,Late,MD,Male,2013,Asian,50361931.84
925,Mid,MD,Male,2013,Asian,134589288.77
926,Early,MD-PhD,Male,2013,Asian,83922990.28
927,Late,MD-PhD,Male,2013,Asian,26726876.42
928,Mid,MD-PhD,Male,2013,Asian,205448048.59
929,Early,Other,Male,2013,Asian,1831704.43
930,Late,Other,Male,2013,Asian,853507.3300000001
931,Mid,Other,Male,2013,Asian,3043019.67
932,Early,PhD,Male,2013,Asian,425786921.21
933,Late,PhD,Male,2013,Asian,148515494.73
934,Mid,PhD,Male,2013,Asian,505352459.84
935,Early,MD,Female,2014,Asian,40491088.1
936,Late,MD,Female,2014,Asian,7244334.710000001
937,Mid,MD,Female,2014,Asian,52452364.31
938,Early,MD-PhD,Female,2014,Asian,23202927.17
939,Late,MD-PhD,Female,2014,Asian,5380101.74
940,Mid,MD-PhD,Female,2014,Asian,56261778.96
941,Early,Other,Female,2014,Asian,1004221.3999999999
942,Mid,Other,Female,2014,Asian,388328.02999999997
943,Early,PhD,Female,2014,Asian,202295589.22
944,Late,PhD,Female,2014,Asian,53686977.27
945,Mid,PhD,Female,2014,Asian,192501896.04
946,Early,MD,Male,2014,Asian,80614520.76
947,Late,MD,Male,2014,Asian,56035468.88
948,Mid,MD,Male,2014,Asian,134247716.45
949,Early,MD-PhD,Male,2014,Asian,83891489.51
950,Late,MD-PhD,Male,2014,Asian,35812191.089999996
951,Mid,MD-PhD,Male,2014,Asian,223673063.43
952,Early,Other,Male,2014,Asian,1058177.5999999999
953,Late,Other,Male,2014,Asian,497878.16
954,Mid,Other,Male,2014,Asian,2500581.11
955,Early,PhD,Male,2014,Asian,467119340.85
956,Late,PhD,Male,2014,Asian,158736836.29
957,Mid,PhD,Male,2014,Asian,518972118.22
958,Early,MD,Female,2015,Asian,32056626.99
959,Late,MD,Female,2015,Asian,16417842.2
960,Mid,MD,Female,2015,Asian,58070673.629999995
961,Early,MD-PhD,Female,2015,Asian,27598924.0
962,Late,MD-PhD,Female,2015,Asian,7809587.57
963,Mid,MD-PhD,Female,2015,Asian,60675666.37
964,Early,Other,Female,2015,Asian,1125129.81
965,Late,Other,Female,2015,Asian,55923.14
966,Mid,Other,Female,2015,Asian,851943.72
967,Early,PhD,Female,2015,Asian,191242220.28
968,Late,PhD,Female,2015,Asian,60168473.89
969,Mid,PhD,Female,2015,Asian,209089817.73
970,Early,MD,Male,2015,Asian,86910092.51
971,Late,MD,Male,2015,Asian,65706186.44
972,Mid,MD,Male,2015,Asian,133847762.8
973,Early,MD-PhD,Male,2015,Asian,83362517.38
