,INSTITUTION TYPE,FUNDING MECHANISM,YEAR,CODE,FUNDING
1007,Research Institutes,RPGs - Non SBIR/STTR,2012.0,FL,391936.2
1008,None,RPGs - SBIR/STTR,2012.0,FL,336675.3333333333
1009,Domestic Higher Education,Research Centers,2012.0,FL,1360294.5
1010,None,Research Centers,2012.0,FL,1072282.9782608696
1011,Research Institutes,Research Centers,2012.0,FL,371195.0
1012,Domestic Higher Education,Training - Individual,2012.0,FL,40296.957627118645
1013,None,Training - Individual,2012.0,FL,44844.558139534885
1014,Research Institutes,Training - Individual,2012.0,FL,42166.8
1015,Domestic Higher Education,Training - Institutional,2012.0,FL,184211.55913978495
1016,None,Training - Institutional,2012.0,FL,235905.0
1017,Domestic Higher Education,Other Research-Related,2013.0,FL,268088.8416422287
1018,Independent Hospitals,Other Research-Related,2013.0,FL,467134.0
1019,None,Other Research-Related,2013.0,FL,204197.80487804877
1020,Research Institutes,Other Research-Related,2013.0,FL,428019.63636363635
1021,Domestic Higher Education,RPGs - Non SBIR/STTR,2013.0,FL,356337.27943570266
1022,None,RPGs - Non SBIR/STTR,2013.0,FL,348200.1617440225
1023,Research Institutes,RPGs - Non SBIR/STTR,2013.0,FL,412444.3977272727
1024,None,RPGs - SBIR/STTR,2013.0,FL,389179.4880952381
1025,Domestic Higher Education,Research Centers,2013.0,FL,1310122.2954545454
1026,None,Research Centers,2013.0,FL,1067499.7441860465
1027,Domestic Higher Education,Training - Individual,2013.0,FL,41320.4358974359
1028,None,Training - Individual,2013.0,FL,42861.107142857145
1029,Research Institutes,Training - Individual,2013.0,FL,48990.4
1030,Domestic Higher Education,Training - Institutional,2013.0,FL,170496.55263157896
1031,None,Training - Institutional,2013.0,FL,173222.0
1032,Domestic Higher Education,Other Research-Related,2014.0,FL,352871.3064516129
1033,Independent Hospitals,Other Research-Related,2014.0,FL,133175.0
1034,None,Other Research-Related,2014.0,FL,173239.5
1035,Research Institutes,Other Research-Related,2014.0,FL,401373.92307692306
1036,Domestic Higher Education,RPGs - Non SBIR/STTR,2014.0,FL,446277.51042196236
1037,None,RPGs - Non SBIR/STTR,2014.0,FL,443860.1081593928
1038,Research Institutes,RPGs - Non SBIR/STTR,2014.0,FL,404071.2865497076
1039,None,RPGs - SBIR/STTR,2014.0,FL,449034.61788617884
1040,Domestic Higher Education,Research Centers,2014.0,FL,1119546.1363636365
1041,None,Research Centers,2014.0,FL,1410490.0
1042,Research Institutes,Research Centers,2014.0,FL,798919.2222222222
1043,Domestic Higher Education,Training - Individual,2014.0,FL,45300.112676056335
1044,None,Training - Individual,2014.0,FL,41376.0
1045,Research Institutes,Training - Individual,2014.0,FL,48705.75
1046,Domestic Higher Education,Training - Institutional,2014.0,FL,192384.22222222222
1047,None,Training - Institutional,2014.0,FL,137668.0
1048,Research Institutes,Training - Institutional,2014.0,FL,402599.0
1049,Domestic Higher Education,Other Research-Related,2015.0,FL,441978.71906354517
1050,None,Other Research-Related,2015.0,FL,176001.95833333334
1051,Research Institutes,Other Research-Related,2015.0,FL,992451.3703703703
1052,Domestic Higher Education,RPGs - Non SBIR/STTR,2015.0,FL,437894.85950804164
1053,Independent Hospitals,RPGs - Non SBIR/STTR,2015.0,FL,232163.0
1054,None,RPGs - Non SBIR/STTR,2015.0,FL,644236.4225092251
1055,Research Institutes,RPGs - Non SBIR/STTR,2015.0,FL,422037.975
1056,None,RPGs - SBIR/STTR,2015.0,FL,491335.6525423729
1057,Domestic Higher Education,Research Centers,2015.0,FL,1213854.5942028984
1058,None,Research Centers,2015.0,FL,1408184.0
1059,Research Institutes,Research Centers,2015.0,FL,900991.8
1060,Domestic Higher Education,Training - Individual,2015.0,FL,41987.73611111111
1061,Research Institutes,Training - Individual,2015.0,FL,55133.0
1062,Domestic Higher Education,Training - Institutional,2015.0,FL,253803.2365591398
1063,None,Training - Institutional,2015.0,FL,208058.0
1064,Research Institutes,Training - Institutional,2015.0,FL,181412.5
1065,Domestic Higher Education,Other,2016.0,FL,1473138.5
1066,Domestic Higher Education,Other Research-Related,2016.0,FL,397290.5543766578
1067,Independent Hospitals,Other Research-Related,2016.0,FL,118346.0
1068,None,Other Research-Related,2016.0,FL,120505.0
1069,Research Institutes,Other Research-Related,2016.0,FL,733259.5757575758
1070,Domestic Higher Education,RPGs - Non SBIR/STTR,2016.0,FL,415803.79200340284
1071,Independent Hospitals,RPGs - Non SBIR/STTR,2016.0,FL,2090284.25
1072,None,RPGs - Non SBIR/STTR,2016.0,FL,549873.1707317074
1073,Research Institutes,RPGs - Non SBIR/STTR,2016.0,FL,448203.374301676
1074,None,RPGs - SBIR/STTR,2016.0,FL,369770.79047619045
1075,Domestic Higher Education,Research Centers,2016.0,FL,1516497.3018867925
1076,None,Research Centers,2016.0,FL,1233051.5
1077,Research Institutes,Research Centers,2016.0,FL,1002267.9
1078,Domestic Higher Education,Training - Individual,2016.0,FL,37665.9375
1079,Research Institutes,Training - Individual,2016.0,FL,54685.8
1080,Domestic Higher Education,Training - Institutional,2016.0,FL,231905.3185840708
1081,Research Institutes,Training - Institutional,2016.0,FL,261688.5
1082,Domestic Higher Education,Other,2017.0,FL,1759519.3076923077
1083,Domestic Higher Education,Other Research-Related,2017.0,FL,385597.8320610687
1084,None,Other Research-Related,2017.0,FL,64446.391304347824
1085,Research Institutes,Other Research-Related,2017.0,FL,362228.125
1086,Domestic Higher Education,RPGs - Non SBIR/STTR,2017.0,FL,461157.55374851247
1087,Independent Hospitals,RPGs - Non SBIR/STTR,2017.0,FL,2039097.6
1088,None,RPGs - Non SBIR/STTR,2017.0,FL,794648.7238095239
1089,Research Institutes,RPGs - Non SBIR/STTR,2017.0,FL,467553.7183908046
1090,None,RPGs - SBIR/STTR,2017.0,FL,389973.015625
1091,Domestic Higher Education,Research Centers,2017.0,FL,1402768.9833333334
1092,None,Research Centers,2017.0,FL,474194.6666666667
1093,Research Institutes,Research Centers,2017.0,FL,1057470.0
1094,Domestic Higher Education,Training - Individual,2017.0,FL,40758.96835443038
1095,Research Institutes,Training - Individual,2017.0,FL,43168.416666666664
1096,Domestic Higher Education,Training - Institutional,2017.0,FL,167061.7214285714
1097,Research Institutes,Training - Institutional,2017.0,FL,277115.5
1098,Domestic Higher Education,Other,2018.0,FL,1794558.6315789474
1099,Domestic Higher Education,Other Research-Related,2018.0,FL,377078.3758865248
1100,None,Other Research-Related,2018.0,FL,97252.0
1101,Research Institutes,Other Research-Related,2018.0,FL,565027.0294117647
1102,Domestic Higher Education,RPGs - Non SBIR/STTR,2018.0,FL,417956.14557453414
1103,Independent Hospitals,RPGs - Non SBIR/STTR,2018.0,FL,1461462.5
1104,None,RPGs - Non SBIR/STTR,2018.0,FL,638235.3594548552
1105,Research Institutes,RPGs - Non SBIR/STTR,2018.0,FL,495809.45856353594
1106,None,RPGs - SBIR/STTR,2018.0,FL,457416.8220338983
1107,Domestic Higher Education,Research Centers,2018.0,FL,1340552.5142857144
1108,None,Research Centers,2018.0,FL,1216084.0
1109,Research Institutes,Research Centers,2018.0,FL,677747.5833333334
1110,Domestic Higher Education,Training - Individual,2018.0,FL,42036.958823529414
1111,Research Institutes,Training - Individual,2018.0,FL,52532.833333333336
1112,Domestic Higher Education,Training - Institutional,2018.0,FL,204547.8310810811
1113,Research Institutes,Training - Institutional,2018.0,FL,55848.0
1114,Domestic Higher Education,Other,2019.0,FL,1888081.857142857
1115,Domestic Higher Education,Other Research-Related,2019.0,FL,327885.5155131265
1116,None,Other Research-Related,2019.0,FL,90868.14545454546
1117,Research Institutes,Other Research-Related,2019.0,FL,1048067.90625
1118,Domestic Higher Education,RPGs - Non SBIR/STTR,2019.0,FL,467453.16731380165
1119,Independent Hospitals,RPGs - Non SBIR/STTR,2019.0,FL,682869.3333333334
1120,None,RPGs - Non SBIR/STTR,2019.0,FL,675853.136577708
1121,Research Institutes,RPGs - Non SBIR/STTR,2019.0,FL,472875.04060913704
1122,None,RPGs - SBIR/STTR,2019.0,FL,538891.4913793104
1123,Domestic Higher Education,Research Centers,2019.0,FL,1321426.1265822784
1124,None,Research Centers,2019.0,FL,2101950.0
1125,Research Institutes,Research Centers,2019.0,FL,665148.1666666666
1126,Domestic Higher Education,Training - Individual,2019.0,FL,42563.21428571428
1127,Research Institutes,Training - Individual,2019.0,FL,55868.09090909091
1128,Domestic Higher Education,Training - Institutional,2019.0,FL,245997.6879432624
1129,Research Institutes,Training - Institutional,2019.0,FL,236363.0
1130,Domestic Higher Education,Construction,2020.0,FL,7600000.0
1131,Domestic Higher Education,Other,2020.0,FL,1273534.2777777778
1132,Domestic Higher Education,Other Research-Related,2020.0,FL,245477.70352941175
1133,None,Other Research-Related,2020.0,FL,119740.97169811321
1134,Research Institutes,Other Research-Related,2020.0,FL,1116068.3125
1135,Domestic Higher Education,RPGs - Non SBIR/STTR,2020.0,FL,458044.24721311475
1136,Independent Hospitals,RPGs - Non SBIR/STTR,2020.0,FL,691891.9285714285
1137,None,RPGs - Non SBIR/STTR,2020.0,FL,623330.7157584684
1138,Research Institutes,RPGs - Non SBIR/STTR,2020.0,FL,519748.41708542715
1139,None,RPGs - SBIR/STTR,2020.0,FL,677067.5769230769
1140,Domestic Higher Education,Research Centers,2020.0,FL,1125912.8916666666
1141,None,Research Centers,2020.0,FL,2059636.0
1142,Research Institutes,Research Centers,2020.0,FL,682397.2222222222
1143,Domestic Higher Education,Training - Individual,2020.0,FL,42175.58849557522
1144,Research Institutes,Training - Individual,2020.0,FL,55261.28571428572
1145,Domestic Higher Education,Training - Institutional,2020.0,FL,233845.46341463414
1146,Research Institutes,Training - Institutional,2020.0,FL,354301.5
1147,Domestic Higher Education,Other,2021.0,FL,1159074.076923077
1148,Domestic Higher Education,Other Research-Related,2021.0,FL,218665.30088495577
1149,None,Other Research-Related,2021.0,FL,127317.42016806723
1150,Research Institutes,Other Research-Related,2021.0,FL,1465457.7142857143
1151,Domestic Higher Education,RPGs - Non SBIR/STTR,2021.0,FL,478965.89543726237
1152,Independent Hospitals,RPGs - Non SBIR/STTR,2021.0,FL,676778.6666666666
1153,None,RPGs - Non SBIR/STTR,2021.0,FL,889245.5409604519
1154,Research Institutes,RPGs - Non SBIR/STTR,2021.0,FL,521696.97959183675
1155,None,RPGs - SBIR/STTR,2021.0,FL,637794.4579439253
1156,Domestic Higher Education,Research Centers,2021.0,FL,1172869.1727272726
1157,None,Research Centers,2021.0,FL,2895442.0
1158,Research Institutes,Research Centers,2021.0,FL,638953.875
1159,Domestic Higher Education,Training - Individual,2021.0,FL,40908.65306122449
1160,None,Training - Individual,2021.0,FL,46036.0
1161,Research Institutes,Training - Individual,2021.0,FL,45076.53333333333
1162,Domestic Higher Education,Training - Institutional,2021.0,FL,254780.01156069365
1163,Research Institutes,Training - Institutional,2021.0,FL,291837.0
1164,Domestic Higher Education,Other Research-Related,2012.0,GA,329034.3034987795
1165,Independent Hospitals,Other Research-Related,2012.0,GA,333049.5
1166,None,Other Research-Related,2012.0,GA,204119.22891566265
1167,Domestic Higher Education,RPGs - Non SBIR/STTR,2012.0,GA,431322.5698868581
1168,None,RPGs - Non SBIR/STTR,2012.0,GA,353486.1342828077
1169,None,RPGs - SBIR/STTR,2012.0,GA,336888.3049180328
1170,Domestic Higher Education,Research Centers,2012.0,GA,1466300.9717868338
1171,None,Research Centers,2012.0,GA,1578429.9705882352
1172,Domestic Higher Education,Training - Individual,2012.0,GA,39273.972277227724
1173,None,Training - Individual,2012.0,GA,40102.0
1174,Domestic Higher Education,Training - Institutional,2012.0,GA,247486.95054945056
1175,None,Training - Institutional,2012.0,GA,135043.0
1176,Domestic Higher Education,Construction,2013.0,GA,1000000.0
1177,Domestic Higher Education,Other Research-Related,2013.0,GA,310225.6410453497
1178,Independent Hospitals,Other Research-Related,2013.0,GA,103500.0
1179,None,Other Research-Related,2013.0,GA,176976.86842105264
1180,Domestic Higher Education,RPGs - Non SBIR/STTR,2013.0,GA,431148.9778679454
1181,None,RPGs - Non SBIR/STTR,2013.0,GA,312705.2189873418
1182,None,RPGs - SBIR/STTR,2013.0,GA,398126.63957597176
1183,Domestic Higher Education,Research Centers,2013.0,GA,1729906.003322259
1184,None,Research Centers,2013.0,GA,1918903.4117647058
1185,Domestic Higher Education,Training - Individual,2013.0,GA,39308.503745318354
1186,None,Training - Individual,2013.0,GA,45826.5
1187,Domestic Higher Education,Training - Institutional,2013.0,GA,227969.65984654732
1188,None,Training - Institutional,2013.0,GA,166206.0
1189,Domestic Higher Education,Other Research-Related,2014.0,GA,300488.5007246377
1190,Independent Hospitals,Other Research-Related,2014.0,GA,637164.0
1191,None,Other Research-Related,2014.0,GA,78034.48148148147
1192,Domestic Higher Education,RPGs - Non SBIR/STTR,2014.0,GA,403748.8787242971
1193,None,RPGs - Non SBIR/STTR,2014.0,GA,276608.0
1194,None,RPGs - SBIR/STTR,2014.0,GA,388681.7278287462
1195,Domestic Higher Education,Research Centers,2014.0,GA,1749326.7442528736
1196,None,Research Centers,2014.0,GA,1018692.0
1197,Domestic Higher Education,Training - Individual,2014.0,GA,42373.44015957447
1198,Domestic Higher Education,Training - Institutional,2014.0,GA,234429.9219143577
1199,Domestic Higher Education,Other Research-Related,2015.0,GA,347958.5608999224
1200,Independent Hospitals,Other Research-Related,2015.0,GA,637164.0
1201,None,Other Research-Related,2015.0,GA,248141.2
1202,Domestic Higher Education,RPGs - Non SBIR/STTR,2015.0,GA,422922.11446119484
1203,None,RPGs - Non SBIR/STTR,2015.0,GA,277757.5
1204,None,RPGs - SBIR/STTR,2015.0,GA,399639.4128440367
1205,Domestic Higher Education,Research Centers,2015.0,GA,1637244.5466666666
1206,None,Research Centers,2015.0,GA,1017520.0
1207,Domestic Higher Education,Training - Individual,2015.0,GA,44437.885869565216
1208,Domestic Higher Education,Training - Institutional,2015.0,GA,233725.55667506298
1209,Domestic Higher Education,Other,2016.0,GA,375000.0
1210,Domestic Higher Education,Other Research-Related,2016.0,GA,278620.1714513557
1211,Independent Hospitals,Other Research-Related,2016.0,GA,572943.5
1212,None,Other Research-Related,2016.0,GA,25000.0
1213,Domestic Higher Education,RPGs - Non SBIR/STTR,2016.0,GA,438594.13626723224
1214,None,RPGs - Non SBIR/STTR,2016.0,GA,265660.5
1215,Research Institutes,RPGs - Non SBIR/STTR,2016.0,GA,248000.0
1216,None,RPGs - SBIR/STTR,2016.0,GA,382788.6905829596
1217,Domestic Higher Education,Research Centers,2016.0,GA,1588964.6421052632
1218,Domestic Higher Education,Training - Individual,2016.0,GA,44987.11662531018
1219,Domestic Higher Education,Training - Institutional,2016.0,GA,241829.08454810496
1220,Domestic Higher Education,Other,2017.0,GA,393750.0
1221,Domestic Higher Education,Other Research-Related,2017.0,GA,265510.27037037036
1222,Independent Hospitals,Other Research-Related,2017.0,GA,727364.5
1223,None,Other Research-Related,2017.0,GA,33000.0
1224,Domestic Higher Education,RPGs - Non SBIR/STTR,2017.0,GA,454643.0626143791
1225,None,RPGs - Non SBIR/STTR,2017.0,GA,287359.45
1226,Research Institutes,RPGs - Non SBIR/STTR,2017.0,GA,279000.0
1227,None,RPGs - SBIR/STTR,2017.0,GA,464151.873015873
1228,Domestic Higher Education,Research Centers,2017.0,GA,1746390.5874587458
1229,Domestic Higher Education,Training - Individual,2017.0,GA,44636.78051948052
1230,Domestic Higher Education,Training - Institutional,2017.0,GA,251959.5702917772
1231,Domestic Higher Education,Other,2018.0,GA,375000.0
1232,Domestic Higher Education,Other Research-Related,2018.0,GA,302196.1510845176
1233,Independent Hospitals,Other Research-Related,2018.0,GA,835317.0
1234,None,Other Research-Related,2018.0,GA,30000.0
1235,Domestic Higher Education,RPGs - Non SBIR/STTR,2018.0,GA,472430.21609632444
1236,None,RPGs - Non SBIR/STTR,2018.0,GA,232667.3404255319
1237,None,RPGs - SBIR/STTR,2018.0,GA,501680.41489361704
1238,Domestic Higher Education,Research Centers,2018.0,GA,1641263.4397759105
1239,Domestic Higher Education,Training - Individual,2018.0,GA,45987.379928315415
1240,Domestic Higher Education,Training - Institutional,2018.0,GA,290710.0487804878
1241,Domestic Higher Education,Other,2019.0,GA,390992.5
1242,Domestic Higher Education,Other Research-Related,2019.0,GA,276605.0394345238
1243,Independent Hospitals,Other Research-Related,2019.0,GA,709174.5
1244,None,Other Research-Related,2019.0,GA,30000.0
1245,Domestic Higher Education,RPGs - Non SBIR/STTR,2019.0,GA,480459.3150126005
1246,None,RPGs - Non SBIR/STTR,2019.0,GA,255761.24137931035
1247,None,RPGs - SBIR/STTR,2019.0,GA,491763.74029126216
1248,Domestic Higher Education,Research Centers,2019.0,GA,1741250.3994334277
1249,Domestic Higher Education,Training - Individual,2019.0,GA,47433.84588235294
1250,None,Training - Individual,2019.0,GA,45016.0
1251,Domestic Higher Education,Training - Institutional,2019.0,GA,344021.4817275748
1252,Domestic Higher Education,Construction,2020.0,GA,2000000.0
1253,Domestic Higher Education,Other,2020.0,GA,1087477.0
1254,Domestic Higher Education,Other Research-Related,2020.0,GA,283077.62731640355
1255,Independent Hospitals,Other Research-Related,2020.0,GA,823918.0
1256,None,Other Research-Related,2020.0,GA,30000.0
1257,Domestic Higher Education,RPGs - Non SBIR/STTR,2020.0,GA,491801.8536841002
1258,None,RPGs - Non SBIR/STTR,2020.0,GA,276732.0
1259,None,RPGs - SBIR/STTR,2020.0,GA,438154.63580246916
1260,Domestic Higher Education,Research Centers,2020.0,GA,2730848.007025761
1261,Domestic Higher Education,Training - Individual,2020.0,GA,49850.321160042964
1262,Domestic Higher Education,Training - Institutional,2020.0,GA,294219.5225464191
1263,Domestic Higher Education,Other,2021.0,GA,575757.0
1264,Domestic Higher Education,Other Research-Related,2021.0,GA,279357.1095700416
1265,Independent Hospitals,Other Research-Related,2021.0,GA,954297.5
1266,None,Other Research-Related,2021.0,GA,54000.0
1267,Domestic Higher Education,RPGs - Non SBIR/STTR,2021.0,GA,507779.6914794492
1268,None,RPGs - Non SBIR/STTR,2021.0,GA,422001.0
1269,None,RPGs - SBIR/STTR,2021.0,GA,488463.81355932204
1270,Domestic Higher Education,Research Centers,2021.0,GA,1789266.6178010472
1271,Domestic Higher Education,Training - Individual,2021.0,GA,47027.88854805726
1272,None,Training - Individual,2021.0,GA,46752.0
1273,Domestic Higher Education,Training - Institutional,2021.0,GA,297881.59102902375
1274,Domestic Higher Education,Other Research-Related,2012.0,HI,134922.0
1275,None,Other Research-Related,2012.0,HI,265841.3076923077
1276,Domestic Higher Education,RPGs - Non SBIR/STTR,2012.0,HI,201957.33333333334
1277,Independent Hospitals,RPGs - Non SBIR/STTR,2012.0,HI,266406.0
1278,None,RPGs - Non SBIR/STTR,2012.0,HI,546790.1509433963
1279,None,RPGs - SBIR/STTR,2012.0,HI,198494.5
1280,Domestic Higher Education,Research Centers,2012.0,HI,849395.0
1281,None,Research Centers,2012.0,HI,1460083.0
1282,None,Training - Individual,2012.0,HI,13545.0
1283,None,Training - Institutional,2012.0,HI,136656.0
1284,Domestic Higher Education,Other Research-Related,2013.0,HI,134922.0
1285,None,Other Research-Related,2013.0,HI,319916.8888888889
1286,Domestic Higher Education,RPGs - Non SBIR/STTR,2013.0,HI,79717.0
1287,Independent Hospitals,RPGs - Non SBIR/STTR,2013.0,HI,275713.6
1288,None,RPGs - Non SBIR/STTR,2013.0,HI,548651.8857142857
1289,Research Institutes,RPGs - Non SBIR/STTR,2013.0,HI,174543.0
1290,None,RPGs - SBIR/STTR,2013.0,HI,191280.0
1291,Domestic Higher Education,Research Centers,2013.0,HI,696991.0
1292,None,Research Centers,2013.0,HI,1156115.076923077
1293,None,Training - Institutional,2013.0,HI,182807.0
1294,Domestic Higher Education,Other Research-Related,2014.0,HI,244007.85714285713
1295,None,Other Research-Related,2014.0,HI,255901.0
1296,Domestic Higher Education,RPGs - Non SBIR/STTR,2014.0,HI,492073.9756097561
1297,Independent Hospitals,RPGs - Non SBIR/STTR,2014.0,HI,189284.25
1298,None,RPGs - Non SBIR/STTR,2014.0,HI,1528431.0
1299,Research Institutes,RPGs - Non SBIR/STTR,2014.0,HI,149492.0
1300,None,RPGs - SBIR/STTR,2014.0,HI,341576.0
1301,Domestic Higher Education,Research Centers,2014.0,HI,1282124.2666666666
1302,None,Research Centers,2014.0,HI,190817.6
1303,Domestic Higher Education,Training - Institutional,2014.0,HI,233371.5
1304,Domestic Higher Education,Other Research-Related,2015.0,HI,255677.9090909091
1305,None,Other Research-Related,2015.0,HI,258366.0
1306,Domestic Higher Education,RPGs - Non SBIR/STTR,2015.0,HI,540074.4772727273
1307,Independent Hospitals,RPGs - Non SBIR/STTR,2015.0,HI,411672.0
1308,None,RPGs - Non SBIR/STTR,2015.0,HI,1028785.0
1309,Research Institutes,RPGs - Non SBIR/STTR,2015.0,HI,67635.0
1310,None,RPGs - SBIR/STTR,2015.0,HI,752779.0
1311,Domestic Higher Education,Research Centers,2015.0,HI,1401488.25
1312,None,Research Centers,2015.0,HI,303329.0
1313,Domestic Higher Education,Training - Individual,2015.0,HI,34643.0
1314,Domestic Higher Education,Training - Institutional,2015.0,HI,236717.0
1315,Domestic Higher Education,Other Research-Related,2016.0,HI,356559.1666666667
1316,Domestic Higher Education,RPGs - Non SBIR/STTR,2016.0,HI,524093.06976744183
1317,Independent Hospitals,RPGs - Non SBIR/STTR,2016.0,HI,196433.5
1318,None,RPGs - Non SBIR/STTR,2016.0,HI,1003201.0
1319,Research Institutes,RPGs - Non SBIR/STTR,2016.0,HI,2640684.0
1320,None,RPGs - SBIR/STTR,2016.0,HI,534286.6666666666
1321,Domestic Higher Education,Research Centers,2016.0,HI,1492530.4615384615
1322,Domestic Higher Education,Training - Individual,2016.0,HI,41497.333333333336
1323,Domestic Higher Education,Training - Institutional,2016.0,HI,94135.0
1324,Domestic Higher Education,Other Research-Related,2017.0,HI,285428.77777777775
1325,Domestic Higher Education,RPGs - Non SBIR/STTR,2017.0,HI,437786.8
1326,None,RPGs - Non SBIR/STTR,2017.0,HI,696681.6666666666
1327,Research Institutes,RPGs - Non SBIR/STTR,2017.0,HI,3109699.0
1328,None,RPGs - SBIR/STTR,2017.0,HI,448430.5
1329,Domestic Higher Education,Research Centers,2017.0,HI,2470414.5
1330,Domestic Higher Education,Training - Individual,2017.0,HI,35011.4
1331,Domestic Higher Education,Training - Institutional,2017.0,HI,47294.0
1332,Domestic Higher Education,Other Research-Related,2018.0,HI,339341.0
1333,Domestic Higher Education,RPGs - Non SBIR/STTR,2018.0,HI,461009.38
1334,Independent Hospitals,RPGs - Non SBIR/STTR,2018.0,HI,635299.0
1335,None,RPGs - Non SBIR/STTR,2018.0,HI,61001.0
1336,Research Institutes,RPGs - Non SBIR/STTR,2018.0,HI,254946.0
1337,None,RPGs - SBIR/STTR,2018.0,HI,592417.5
1338,Domestic Higher Education,Research Centers,2018.0,HI,2448293.4444444445
1339,Domestic Higher Education,Training - Individual,2018.0,HI,48136.333333333336
1340,Domestic Higher Education,Training - Institutional,2018.0,HI,356299.0
1341,Domestic Higher Education,Construction,2019.0,HI,6478224.0
1342,Domestic Higher Education,Other Research-Related,2019.0,HI,323261.1
1343,Domestic Higher Education,RPGs - Non SBIR/STTR,2019.0,HI,462190.4418604651
1344,Independent Hospitals,RPGs - Non SBIR/STTR,2019.0,HI,615325.0
1345,None,RPGs - SBIR/STTR,2019.0,HI,474996.2
1346,Domestic Higher Education,Research Centers,2019.0,HI,1832164.5
1347,Independent Hospitals,Research Centers,2019.0,HI,2500977.0
1348,Domestic Higher Education,Training - Individual,2019.0,HI,51836.0
1349,Domestic Higher Education,Training - Institutional,2019.0,HI,287718.0
1350,Domestic Higher Education,Other Research-Related,2020.0,HI,318915.92307692306
1351,Domestic Higher Education,RPGs - Non SBIR/STTR,2020.0,HI,420417.68888888886
1352,Independent Hospitals,RPGs - Non SBIR/STTR,2020.0,HI,533956.0
1353,None,RPGs - SBIR/STTR,2020.0,HI,703639.4
1354,Domestic Higher Education,Research Centers,2020.0,HI,1594858.857142857
1355,Independent Hospitals,Research Centers,2020.0,HI,2418505.0
1356,Domestic Higher Education,Training - Individual,2020.0,HI,54712.0
1357,Domestic Higher Education,Training - Institutional,2020.0,HI,405312.5
1358,Domestic Higher Education,Other,2021.0,HI,1994927.0
1359,Domestic Higher Education,Other Research-Related,2021.0,HI,327206.1
1360,Domestic Higher Education,RPGs - Non SBIR/STTR,2021.0,HI,519230.0909090909
1361,Independent Hospitals,RPGs - Non SBIR/STTR,2021.0,HI,575733.0
1362,None,RPGs - SBIR/STTR,2021.0,HI,591489.8
1363,Domestic Higher Education,Research Centers,2021.0,HI,1407681.5
1364,Independent Hospitals,Research Centers,2021.0,HI,2369627.0
1365,Domestic Higher Education,Training - Individual,2021.0,HI,49299.0
1366,Domestic Higher Education,Training - Institutional,2021.0,HI,364694.3333333333
1367,Domestic Higher Education,Other Research-Related,2012.0,IA,196501.15625
1368,None,Other Research-Related,2012.0,IA,326434.0
1369,Research Institutes,Other Research-Related,2012.0,IA,669579.0
1370,Domestic Higher Education,RPGs - Non SBIR/STTR,2012.0,IA,412938.78350515466
1371,None,RPGs - Non SBIR/STTR,2012.0,IA,388706.25
1372,None,RPGs - SBIR/STTR,2012.0,IA,416883.6666666667
1373,Domestic Higher Education,Research Centers,2012.0,IA,1661501.3333333333
1374,Domestic Higher Education,Training - Individual,2012.0,IA,36883.117647058825
1375,Domestic Higher Education,Training - Institutional,2012.0,IA,287810.72
1376,Domestic Higher Education,Other Research-Related,2013.0,IA,185536.92537313432
1377,Research Institutes,Other Research-Related,2013.0,IA,747553.0
1378,Domestic Higher Education,RPGs - Non SBIR/STTR,2013.0,IA,393290.63120567374
1379,None,RPGs - SBIR/STTR,2013.0,IA,261768.625
1380,Domestic Higher Education,Research Centers,2013.0,IA,1285263.5
1381,Domestic Higher Education,Training - Individual,2013.0,IA,34088.1875
1382,Domestic Higher Education,Training - Institutional,2013.0,IA,231819.1875
1383,Domestic Higher Education,Other Research-Related,2014.0,IA,249142.9387755102
1384,Research Institutes,Other Research-Related,2014.0,IA,526858.5
1385,Domestic Higher Education,RPGs - Non SBIR/STTR,2014.0,IA,366056.7199017199
1386,None,RPGs - Non SBIR/STTR,2014.0,IA,417209.5
1387,None,RPGs - SBIR/STTR,2014.0,IA,333230.5238095238
1388,Domestic Higher Education,Research Centers,2014.0,IA,1266047.0714285714
1389,Domestic Higher Education,Training - Individual,2014.0,IA,37896.142857142855
1390,Domestic Higher Education,Training - Institutional,2014.0,IA,231838.46875
1391,Domestic Higher Education,Other Research-Related,2015.0,IA,276699.0131578947
1392,Research Institutes,Other Research-Related,2015.0,IA,780000.0
1393,Domestic Higher Education,RPGs - Non SBIR/STTR,2015.0,IA,360228.28536585363
1394,None,RPGs - Non SBIR/STTR,2015.0,IA,22183.0
1395,None,RPGs - SBIR/STTR,2015.0,IA,368172.0
1396,Domestic Higher Education,Research Centers,2015.0,IA,1527712.8461538462
1397,Domestic Higher Education,Training - Individual,2015.0,IA,38257.375
1398,Domestic Higher Education,Training - Institutional,2015.0,IA,239388.85185185185
1399,Domestic Higher Education,Other,2016.0,IA,1296758.0
1400,Domestic Higher Education,Other Research-Related,2016.0,IA,361970.55
1401,Research Institutes,Other Research-Related,2016.0,IA,630000.0
1402,Domestic Higher Education,RPGs - Non SBIR/STTR,2016.0,IA,372464.95893719804
1403,None,RPGs - SBIR/STTR,2016.0,IA,428063.97142857144
1404,Domestic Higher Education,Research Centers,2016.0,IA,1376884.5333333334
1405,Domestic Higher Education,Training - Individual,2016.0,IA,32138.9375
1406,Domestic Higher Education,Training - Institutional,2016.0,IA,247992.64285714287
1407,Domestic Higher Education,Other,2017.0,IA,1007232.6666666666
1408,Domestic Higher Education,Other Research-Related,2017.0,IA,342328.453125
