,ORGANIZATION NAME,TOTAL FUNDING,TOTAL PROJECT,TOTAL PATENT,TOTAL PUBLICATON
1944,"LIVER COMPANY INC., THE",299999.0,1.0,0.0,0.0
1945,"ARAVIS BIOTECH, LLC",299999.0,1.0,0.0,0.0
1946,"THYMMUNE THERAPEUTICS, INC",299999.0,1.0,0.0,0.0
1947,"IBEX BIOSCIENCES, LLC",299999.0,1.0,0.0,0.0
1948,"WOODLAND PHARMACEUTICALS, LLC",299999.0,1.0,0.0,4.0
1949,"TORNADO THERAPEUTICS, INC.",300000.0,1.0,0.0,0.0
1950,"GENERAL NANOTHERAPEUTICS, LLC",300000.0,1.0,0.0,0.0
1951,"IRIA PHARMA, LLC",300000.0,1.0,0.0,0.0
1952,GENELANCET BIOSCIENCES INC,300000.0,1.0,0.0,0.0
1953,"B2M MEDICAL, INC.",300000.0,1.0,0.0,0.0
1954,"IMPACTIV, INC.",300000.0,1.0,0.0,0.0
1955,"ESPIRA, INC.",300000.0,1.0,0.0,0.0
1956,AVSANA LABS INCORPORATED,300000.0,1.0,0.0,0.0
1957,"GENECURE, LLC",300000.0,1.0,0.0,0.0
1958,"CASSIA, LLC",300000.0,1.0,0.0,0.0
1959,"ITRUNSINMYFAMILY.COM, INC.",300000.0,1.0,0.0,2.0
1960,"CYTOIMAGE DX, LLC",300000.0,1.0,0.0,0.0
1961,"MGS RESEARCH, INC.",300000.0,1.0,0.0,0.0
1962,"COORDINATION PHARMACEUTICALS, LLC",300000.0,1.0,0.0,0.0
1963,"GLIXIS THERAPEUTICS, LLC",300000.0,1.0,0.0,1.0
1964,KYTOPEN CORP,300000.0,1.0,0.0,0.0
1965,"COVALENT BIOSCIENCE, INC.",300000.0,1.0,0.0,4.0
1966,"MINUTIA, INC.",300000.0,1.0,0.0,0.0
1967,HARLINGENE LIFE SCIENCES LLC,300000.0,1.0,0.0,0.0
1968,ADVANCED VISION TECHNOLOGIES,300000.0,1.0,0.0,0.0
1969,"ONCOTHERAPY SOLUTIONS, LLC",300000.0,1.0,0.0,0.0
1970,NANOENGINEERING CORPORATION,300000.0,1.0,0.0,2.0
1971,"CYTOCURE, LLC",300000.0,1.0,0.0,1.0
1972,"DELPHI GENOMICS, LLC",300000.0,1.0,0.0,0.0
1973,"DAVINCI BIO, INC.",300000.0,1.0,0.0,0.0
1974,"HUMURINE TECHNOLOGIES, INC.",300000.0,1.0,0.0,0.0
1975,"THIMBLE THERAPEUTICS, INC.",300000.0,1.0,0.0,0.0
1976,"ENYX THERAPEUTICS, LLC",300000.0,1.0,0.0,0.0
1977,GLYCO EXPRESSION TECHNOLOGIES (CORPORATION),300000.0,1.0,0.0,0.0
1978,"VINDICO NANOBIOTECHNOLOGY, INC.",300000.0,1.0,0.0,1.0
1979,"OOMNI, INC.",300000.0,1.0,0.0,0.0
1980,"MICROBEDX, INC.",300000.0,1.0,0.0,1.0
1981,"AVIOR, INC.",300000.0,1.0,0.0,0.0
1982,OSTIIO LLC,300000.0,1.0,0.0,0.0
1983,KING COLLEGE,300000.0,1.0,0.0,8.0
1984,"NURIX, INC.",300000.0,1.0,0.0,0.0
1985,"AMBERSTONE BIOSCIENCES, INC",300000.0,1.0,0.0,0.0
1986,"NABGEN, INC.",300000.0,1.0,0.0,0.0
1987,MAE CONSULTING GROUP LLC,300000.0,1.0,0.0,2.0
1988,MEDVAS CONCEPTS COMPANY,300000.0,1.0,0.0,0.0
1989,"MILO BIOTECHNOLOGY, LLC",300000.0,1.0,0.0,2.0
1990,"HASENTECH, LLC",300000.0,1.0,0.0,0.0
1991,ENERGY RESEARCH COMPANY,300000.0,1.0,0.0,0.0
1992,"NFERENCE, INC.",300000.0,1.0,0.0,0.0
1993,"AQD LIFE SCIENCES, LLC",300000.0,1.0,0.0,0.0
1994,"PROTEUS DIGITAL HEALTH, INC.",300000.0,1.0,0.0,1.0
1995,"TORUS BIOSYSTEMS, INC.",300000.0,1.0,0.0,0.0
1996,"FORWARD DEFENSE, LLC",300000.0,1.0,0.0,0.0
1997,"VAXFORM, LLC",300000.0,1.0,0.0,0.0
1998,"RECODAGEN, LLC",300000.0,1.0,0.0,0.0
1999,"SIL TECHNOLOGIES, LLC",300000.0,2.0,0.0,0.0
2000,"YEWSAVIN, INC.",300000.0,1.0,0.0,0.0
2001,"REGULUS THERAPEUTICS, LLC",300000.0,1.0,0.0,0.0
2002,"PRECISION VIROLOGICS, INC.",300000.0,1.0,0.0,1.0
2003,"KUDA THERAPEUTICS, LLC",300000.0,1.0,0.0,0.0
2004,"VITRUVIAN BIO, LLC",300000.0,1.0,0.0,0.0
2005,"CHEMTOR, LP",300000.0,2.0,0.0,0.0
2006,"LAGRANGE SCIENTIFIC, LLC",300000.0,1.0,0.0,0.0
2007,"JB HEALTHTECH, INC.",300000.0,1.0,0.0,0.0
2008,"STORX TECHNOLOGIES, INC.",300000.0,1.0,0.0,0.0
2009,AJK BIOPHARMACEUTICAL LLC,300000.0,1.0,0.0,0.0
2010,"ADELPHI TECHNOLOGY, INC.",300000.0,1.0,0.0,0.0
2011,BIOMORPH TECHNOLOGIES LLC,300000.0,1.0,0.0,0.0
2012,"SYNTR HEALTH TECHNOLOGIES, LLC",300000.0,1.0,0.0,0.0
2013,"UNAR LABS, LLC",300000.0,1.0,0.0,0.0
2014,"EXARCA PHARMACEUTICALS, LLC",300000.0,1.0,0.0,0.0
2015,"INNOVAGYN, INC.",300001.0,1.0,0.0,0.0
2016,"VENOVA TECHNOLOGIES, INC.",300067.0,1.0,0.0,0.0
2017,JOHNSON STATE COLLEGE,300096.0,1.0,0.0,3.0
2018,NXTECH INC,300648.0,2.0,0.0,0.0
2019,DINA PHARMA INC,300848.0,1.0,0.0,0.0
2020,VISO THERAPEUTICS INC.,300889.0,1.0,0.0,0.0
2021,"VIGILANT DIAGNOSTICS, LLC",300939.0,1.0,0.0,1.0
2022,KAPIOLANI MEDICAL CENTER WOMEN/CHILDREN,301017.0,3.0,0.0,0.0
2023,CALIFORNIA STATE UNIVERSITY-STANISLAUS,301110.0,3.0,0.0,0.0
2024,"CERFLUX, INC.",301148.0,2.0,0.0,0.0
2025,EZ LAB LIMITED LIABILITY COMPANY,301253.0,1.0,0.0,0.0
2026,"JT-MESH DIAGNOSTICS, LLC",301260.0,1.0,0.0,0.0
2027,"ITI HEALTH, INC.",301341.0,1.0,0.0,0.0
2028,"ENSPIRE BIO, INC.",301694.0,2.0,0.0,1.0
2029,RIBO-THERAPEUTICS LLC,301818.0,1.0,0.0,0.0
2030,"BETAH ASSOCIATES, INC.",302308.0,6.0,0.0,0.0
2031,"TRPBLUE, INC.",302320.0,1.0,0.0,0.0
2032,"FIBROSIX, LLC",302500.0,2.0,0.0,0.0
2033,"OPEN SOURCE INSTRUMENTS, INC.",302603.0,1.0,0.0,0.0
2034,"NEUROSCOUTING, LLC",302865.0,2.0,0.0,1.0
2035,NORTH AMERICAN VASCULAR BIOLOGY ORG,303002.0,10.0,0.0,0.0
2036,VRX MEDICAL INC.,303366.0,2.0,0.0,0.0
2037,"KSANA HEALTH, INC.",303370.0,1.0,0.0,0.0
2038,"INFRATRAC, INC.",303714.0,1.0,0.0,0.0
2039,"DOWN FROM THE DOOR, LLC",303769.0,1.0,0.0,0.0
2040,MONTSHIRE MUSEUM OF SCIENCE,303790.0,2.0,0.0,0.0
2041,THERACEA PHARMA LC,304396.0,1.0,0.0,0.0
2042,JORVEC CORPORATION,305041.0,2.0,0.0,4.0
2043,"FRONT EDGE TECHNOLOGY, INC.",305162.0,1.0,0.0,0.0
2044,"CONSEGNA PHARMA, INC.",305204.0,2.0,0.0,0.0
2045,"UNIVERSAL STABILIZATION TECHNOLOGIES,",305320.0,1.0,0.0,0.0
2046,"DIOPTER TECHNOLOGIES, INC.",305500.0,1.0,0.0,0.0
2047,MANCHESTER UNIVERSITY,305507.0,1.0,0.0,0.0
2048,"AGITATED SOLUTIONS, LLC",305538.0,1.0,0.0,0.0
2049,DE DIEGO RESEARCH FOUNDATION,305583.0,2.0,0.0,9.0
2050,"NEUROFIT, INC.",305604.0,1.0,0.0,2.0
2051,"GOLDILOCKS THERAPEUTICS, INC.",305844.0,1.0,0.0,0.0
2052,"KADVAX TECHNOLOGIES, INC.",305976.0,1.0,0.0,1.0
2053,"INNOVEGA, INC.",306186.0,2.0,0.0,0.0
2054,"BIOMOTIVATE, LLC",306492.0,2.0,0.0,0.0
2055,"AI METRICS, LLC",306499.0,2.0,0.0,0.0
2056,"CENTER FOR PROGRESSIVE RECOVERY, LLC",306500.0,2.0,0.0,0.0
2057,UNIVERSITY OF THE REPUBLIC,306819.0,3.0,0.0,31.0
2058,EARLY ALZHEIMER'S DIAGNOSTICS LLC,306974.0,1.0,0.0,0.0
2059,"LIQUIDGOLDCONCEPT, INC",307035.0,2.0,0.0,0.0
2060,"YC BIOELECTRIC, LLC",307787.0,1.0,0.0,0.0
2061,LEBANESE AMERICAN UNIVERSITY,307822.0,2.0,0.0,26.0
2062,SACRED HEART MEDICAL CENTER,307940.0,1.0,0.0,8.0
2063,RAMAPO COLLEGE OF NEW JERSEY,308000.0,1.0,0.0,0.0
2064,"NEMAMETRIX, LLC",308256.0,2.0,0.0,0.0
2065,"SCHEDULE 1 THERAPEUTICS, INC.",308465.0,1.0,0.0,0.0
2066,"INFLAMMA THERAPEUTICS, LLC",308650.0,1.0,0.0,0.0
2067,"AFFECT THERAPEUTICS, INC.",309360.0,1.0,0.0,0.0
2068,AGNES SCOTT COLLEGE,309482.0,1.0,0.0,0.0
2069,"SACHI BIOWORKS, INC.",309674.0,1.0,0.0,0.0
2070,"AQUALUNG THERAPEUTICS, CORP",310267.0,1.0,0.0,0.0
2071,"MULTIVARIATE SYSTEMS, INC.",310564.0,2.0,0.0,0.0
2072,BIOPOWERTECH,311003.0,1.0,0.0,0.0
2073,COR HABERE CORPORATION,311131.0,1.0,0.0,1.0
2074,VRM LABS INC,311321.0,2.0,0.0,0.0
2075,"KINO DISCOVERY, INC.",311322.0,1.0,0.0,0.0
2076,"MESA SCIENCE ASSOCIATES, INC.",311381.0,1.0,0.0,0.0
2077,"INNATEVR, LLC",311580.0,2.0,0.0,0.0
2078,JOHNSON & WALES UNIVERSITY INC,311852.0,1.0,0.0,0.0
2079,BIOMATRIX,312089.0,2.0,0.0,0.0
2080,"VERISIM LIFE, INC.",312310.0,1.0,0.0,0.0
2081,"CX THERAPEUTICS, INC",312578.0,1.0,0.0,0.0
2082,UNIVERSITY OF INDIANAPOLIS,312752.0,1.0,0.0,0.0
2083,SOUTH CAROLINA HIV/AIDS COUNCIL,313866.0,1.0,0.0,0.0
2084,"ARACARI BIOSCIENCES, INC.",314018.0,1.0,0.0,0.0
2085,CHILDREN'S HOSPITAL OF DENVER,314021.0,1.0,0.0,118.0
2086,HAMILTON COLLEGE,314057.0,2.0,0.0,1.0
2087,"RESEARCH AND DIAGNOSTIC SYSTEMS, INC.",314418.0,1.0,0.0,0.0
2088,TERASAKI FAMILY FOUNDATION,314505.0,1.0,0.0,0.0
2089,"SPINOGENIX, INC.",314511.0,1.0,0.0,1.0
2090,IACUC 101 SERIES,314555.0,5.0,0.0,0.0
2091,SINGING RIVER HEALTH SYSTEM,314642.0,1.0,0.0,0.0
2092,"EVINCIS BIO, INC.",314913.0,1.0,0.0,0.0
2093,"CMTX BIOTECH, INC.",315000.0,1.0,0.0,0.0
2094,"STEREOLOGY RESOURCE CENTER, INC.",315169.0,1.0,0.0,0.0
2095,ALABAMA AGRI AND MECH UNIVERSITY,315215.0,1.0,0.0,0.0
2096,UNIVERSITY OF PRINCE EDWARD ISLAND,315394.0,2.0,0.0,0.0
2097,"AMERICAN ACADEMY OF AUDIOLOGY, INC.",315831.0,9.0,0.0,0.0
2098,"BLUESUN, INC.",316107.0,3.0,0.0,1.0
2099,"STEALTH BIOSCIENCES, INC.",316260.0,1.0,0.0,0.0
2100,AKRON GENERAL MEDICAL CENTER,316489.0,2.0,0.0,10.0
2101,IBIS REPRODUCTIVE HEALTH,316516.0,2.0,0.0,0.0
2102,KENYATTA UNIVERSITY,316624.0,2.0,0.0,0.0
2103,"EPERTURE, LLC",316895.0,1.0,0.0,0.0
2104,TECHNICAL UNIVERSITY OF MUNICH,316896.0,2.0,0.0,6.0
2105,THE CHRIST HOSPITAL,317222.0,2.0,0.0,7.0
2106,"SOUTH PLAINS BIOTECHNOLOGY, INC.",317388.0,2.0,0.0,2.0
2107,"VELOCITY LABORATORIES, LLC",317697.0,2.0,0.0,0.0
2108,"FRD ACCEL, LLC",318713.0,1.0,0.0,0.0
2109,XOSOMIX LLC,318909.0,1.0,0.0,0.0
2110,"NEUROPTICS, INC.",319082.0,1.0,0.0,0.0
2111,"ATTUNE NEUROSCIENCES, INC.",319441.0,1.0,0.0,0.0
2112,"RELATE XR, LLC",319542.0,1.0,0.0,0.0
2113,ENALARE THERAPEUTICS INC.,319703.0,1.0,0.0,0.0
2114,TARGETSITE THERAPEUTICS CORPORATION,319794.0,1.0,0.0,0.0
2115,"PHOTOPHARMICS, INC.",319976.0,1.0,0.0,0.0
2116,"NOBILIS THERAPEUTICS, INC.",319992.0,1.0,0.0,0.0
2117,"RESCUE BIOMEDICAL, LLC",319995.0,1.0,0.0,0.0
2118,HUNTERIAN MEDICINE LLC,320000.0,1.0,0.0,0.0
2119,ELEVEN THERAPEUTICS CORP,320000.0,1.0,0.0,0.0
2120,"OLFA THERA, INC.",320000.0,1.0,0.0,0.0
2121,"CONCARLO HOLDINGS, LLC",320217.0,1.0,0.0,0.0
2122,CEDAR GROVE RESEARCH INST/SUSTAIN COM,320818.0,2.0,0.0,0.0
2123,DIABETES RESEARCH INSTITUTE,321319.0,1.0,0.0,0.0
2124,"WEAVER LABS, LLC",321480.0,2.0,0.0,0.0
2125,SAPIEN HEALTH LLC,321722.0,1.0,0.0,0.0
2126,"ALAMAR BIOSCIENCES, INC.",321869.0,1.0,0.0,0.0
2127,"PARKVIEW HOSPITAL, INC.",321883.0,2.0,0.0,0.0
2128,ACHUCARRO BASQUE CENTER FOR NEUROSCIENCE,322380.0,1.0,0.0,0.0
2129,RESPIRATORY HEALTH ASSN /METRO CHICAGO,322385.0,1.0,0.0,2.0
2130,"LIQUIGLIDE, INC.",322754.0,1.0,0.0,0.0
2131,"SENTRIMED, INC.",322833.0,1.0,0.0,0.0
2132,"REFINED IMAGING, LLC",322996.0,1.0,0.0,0.0
2133,LYNX DESIGN,323736.0,1.0,4.0,5.0
2134,MONTEREY BAY AQUARIUM RESEARCH INST,323836.0,1.0,0.0,9.0
2135,GRAHAM JOHNSON,323956.0,6.0,0.0,0.0
2136,"ACTORIUS PHARMACEUTICALS, LLC",324985.0,1.0,0.0,2.0
2137,MOUNT ST. MARY'S COLLEGE,324988.0,2.0,0.0,2.0
2138,"LIGHTSEED, INC.",324994.0,1.0,0.0,0.0
2139,"PAK BIOSOLUTIONS, INC.",324999.0,1.0,0.0,0.0
2140,"SYNERGYAN, LLC",324999.0,1.0,0.0,0.0
2141,ELEUTHERIA PHARMACEUTICALS LLC,325386.0,1.0,0.0,0.0
2142,"WHITE POINT SYSTEMS, INC.",326000.0,1.0,0.0,0.0
2143,CEDAR RAPIDS ONCOLOGY PROJECT,326434.0,1.0,0.0,118.0
2144,UNIVERSITY OF NORTH CAROLINA ASHEVILLE,326674.0,1.0,0.0,0.0
2145,"ADK GROUP, LLC",326862.0,1.0,0.0,0.0
2146,BOSTON PUBLIC HEALTH COMMISSION,327006.0,1.0,0.0,1.0
2147,"ENDECTRA, LLC",327240.0,1.0,0.0,3.0
2148,"UMECH TECHNOLOGIES, LLC",327701.0,1.0,0.0,0.0
2149,"PROVOC, INC.",327980.0,1.0,0.0,0.0
2150,"DANYA INTERNATIONAL, INC.",329128.0,2.0,0.0,1.0
2151,"ILIAD BIOTECHNOLOGIES, LLC",329260.0,1.0,0.0,0.0
2152,SAN FRANCISCO DEPARTMENT OF PUBLIC HEALTH,329456.0,2.0,0.0,0.0
2153,WILLIAM JEWELL COLLEGE,329868.0,1.0,0.0,0.0
2154,"VIOMEDIX, LLC",329906.0,2.0,0.0,0.0
2155,DICKINSON COLLEGE,330176.0,1.0,0.0,1.0
2156,"GENCOVE, INC.",330234.0,1.0,0.0,1.0
2157,UNIVERSITY OF WASHINGTON:,330354.0,2.0,0.0,0.0
2158,ST. EDWARD'S UNIVERSITY,330602.0,3.0,0.0,2.0
2159,"TELOVISION, LLC",330708.0,3.0,0.0,2.0
2160,"OPIAID, LLC",331533.0,2.0,0.0,0.0
2161,SEOUL NATIONAL UNIVERSITY,331835.0,2.0,0.0,43.0
2162,"FIRSTHAND TECHNOLOGY, INC.",332641.0,1.0,0.0,0.0
2163,"MODALITY.AI , INC",332831.0,1.0,0.0,0.0
2164,PRODEVICE MEDICAL SUPPLIES AND EQUIPMENT,333440.0,2.0,0.0,5.0
2165,"3+2 PHARMA, LLC",334008.0,1.0,0.0,0.0
2166,"MATREXA, LLC",334031.0,1.0,0.0,6.0
2167,CENTRO DE PSICOLOGIA MEDICA SAN MARTIN,334244.0,1.0,0.0,45.0
2168,"ZETTA AI, LLC",334576.0,1.0,0.0,0.0
2169,"PRIMERADX, INC.",335186.0,1.0,0.0,1.0
2170,VELTION THERAPEUTICS LLC,335671.0,1.0,0.0,0.0
2171,UNIVERSITY OF WISCONSIN-SUPERIOR,335740.0,1.0,0.0,0.0
2172,INSTITUT PASTEUR DE TUNIS,335945.0,3.0,0.0,0.0
2173,LED RADIOFLUIDICS CORP,336053.0,1.0,0.0,0.0
2174,"CELETRIX, LLC",336180.0,2.0,0.0,3.0
2175,"PARADIGM SHIFT THERAPEUTICS, LLC",336343.0,1.0,0.0,4.0
2176,"OLFAX, LLC",336946.0,1.0,0.0,0.0
2177,LIFENGINE ANIMAL HEALTH LABORATORIES INCORPORATED,337433.0,1.0,0.0,0.0
2178,"BINNACLE BIOSCIENCES, INC.",337587.0,1.0,0.0,0.0
2179,GENBEN LIFESCIENCES CORPORATION,338621.0,2.0,0.0,0.0
2180,HUMAN SCIENCES RESEARCH COUNCIL,338703.0,4.0,0.0,2.0
2181,"NIVARTA, INC.",339072.0,1.0,0.0,0.0
2182,"GOBLUE INTERNATIONAL, LLC",339481.0,1.0,0.0,1.0
2183,"ATROPOS THERAPEUTICS, INC.",339657.0,1.0,0.0,0.0
2184,SUNNYBAY BIOTECH,339910.0,2.0,0.0,1.0
2185,CLOUD MUSTANG CORPORATION,340740.0,1.0,0.0,0.0
2186,"MERIDIAN BIOTECH, LLC",340761.0,1.0,0.0,1.0
2187,"EQUATOR THERAPEUTICS, INC.",340882.0,1.0,0.0,0.0
2188,FOUNDATION FOR ADVANCING VETERANS' HLTH,341007.0,2.0,0.0,1.0
2189,"BEHAVIORAL TECH RESEARCH, INC.",341373.0,2.0,0.0,1.0
2190,"URSUS MEDICAL, LLC",341520.0,1.0,0.0,0.0
2191,ACADEMYHEALTH,342383.0,7.0,0.0,0.0
2192,"BLR BIO, LLC",342514.0,2.0,0.0,0.0
2193,"REBELLION PHOTONICS, INC.",343234.0,1.0,0.0,0.0
2194,"VIRGINIA TECHNOLOGIES, INC.",343588.0,1.0,4.0,0.0
2195,"WORKBOOK PUBLISHING, INC.",344304.0,2.0,0.0,3.0
2196,ELITE ATHLETE PRODUCTS INC,344843.0,1.0,0.0,0.0
2197,"CLARK-MXR, INC.",344906.0,1.0,0.0,0.0
2198,"BIOGRAFT, INC.",345103.0,1.0,0.0,0.0
2199,NEW MEXICO STATE DEPT OF HUMAN SERVICES,345349.0,2.0,0.0,0.0
2200,HBI SOLUTIONS INC.,345852.0,1.0,0.0,0.0
2201,DRUGS FOR NEGLECTED DISEASES INITIATIVE,346192.0,1.0,0.0,4.0
2202,"MPROBE, INC.",346545.0,1.0,0.0,0.0
2203,SOUTHEASTERN LOUISIANA UNIVERSITY,346576.0,1.0,0.0,1.0
2204,"PUERTO RICO SCIENCE, TECHNOLOGY AND RESEARCH TRUST",346700.0,2.0,0.0,3.0
2205,"INFORMED SIMPLIFICATIONS, LLC",347282.0,1.0,0.0,0.0
2206,"BOHEMICA PHARMACEUTICALS, LLC",347546.0,1.0,0.0,2.0
2207,NATIONAL TAIWAN UNIVERSITY,347926.0,1.0,0.0,0.0
2208,"CROSSCOMM, INC.",348182.0,2.0,0.0,0.0
2209,EICOM USA,348954.0,1.0,0.0,0.0
2210,"VALVENTION, INC.",349309.0,1.0,0.0,0.0
2211,"LLOYD OLSON, MD, LLC",349336.0,1.0,0.0,0.0
2212,"CNINE BIOSOLUTIONS, INC.",349348.0,2.0,0.0,1.0
2213,AKELOS INC.,349409.0,1.0,0.0,0.0
2214,"PIONEAR TECHNOLOGIES, INC.",349501.0,1.0,0.0,0.0
2215,"SYMTREND, INC.",349606.0,1.0,0.0,0.0
2216,"OROCHEM TECHNOLOGIES, INC.",349643.0,1.0,0.0,0.0
2217,"COPRATA, INC.",349877.0,1.0,0.0,0.0
2218,"ZEPHYRUS BIOSCIENCES, INC.",349917.0,1.0,1.0,1.0
2219,"CASCADE METRIX, LLC",349917.0,1.0,0.0,0.0
2220,ZXEREX CORPORATION,349933.0,1.0,0.0,0.0
2221,GENEIAL LLC,349997.0,1.0,0.0,0.0
2222,"ELF ZONE, INC.",349999.0,2.0,0.0,0.0
2223,ALGEN BIOTECHNOLOGIES INC,350000.0,1.0,0.0,0.0
2224,"FPRT BIO, INC.",350000.0,1.0,0.0,2.0
2225,AMERICAN PAIN SOCIETY,350000.0,9.0,0.0,2.0
2226,VITAMIN D WORKSHOP,350000.0,7.0,0.0,5.0
2227,"RESPIRA LABS, LLC",350000.0,1.0,0.0,0.0
2228,"EVVIA THERAPEUTICS, INC.",350000.0,1.0,0.0,0.0
2229,"MAA LABORATORIES, INC.",350000.0,2.0,0.0,0.0
2230,"MICROFAB TECHNOLOGIES, INC.",350000.0,1.0,0.0,0.0
2231,SILICOG,350059.0,1.0,0.0,0.0
2232,"VEANA THERAPEUTICS, LLC",350128.0,2.0,0.0,0.0
2233,"AQUILO SPORTS, LLC",350681.0,1.0,0.0,0.0
2234,"VECTECH, LLC",350705.0,2.0,0.0,0.0
2235,"RADIAL ANALYTICS, INC.",350832.0,1.0,0.0,0.0
2236,"FYR DIAGNOSTICS, INC.",351120.0,1.0,0.0,0.0
2237,"WITNESS CARES, LLC",351546.0,2.0,0.0,0.0
2238,"TATEVA THERAPEUTICS, INC.",352000.0,2.0,0.0,0.0
2239,"WENTWORTH INSTITUTE OF TECHNOLOGY, INC.",352350.0,1.0,0.0,1.0
2240,IMGGYD LLC,352944.0,1.0,0.0,0.0
2241,CELLASIC CORPORATION,353341.0,1.0,0.0,0.0
2242,"XIMIO HEALTH, INC.",353361.0,2.0,0.0,0.0
2243,"BREEZMED, LLC",353383.0,2.0,0.0,0.0
2244,SAVAGE MEDICAL,353509.0,2.0,0.0,0.0
2245,INDIANA UNIVERSITY OF PENNSYLVANIA,353538.0,1.0,0.0,1.0
2246,"WINSTON PHARMACEUTICALS, INC.",354023.0,2.0,0.0,0.0
2247,"CARE TEAM SOLUTIONS, LLC",354194.0,2.0,0.0,0.0
2248,MEREDITH COLLEGE,354408.0,1.0,0.0,0.0
2249,"COMPLEGEN, INC.",354754.0,1.0,0.0,2.0
2250,RADTRAN LLC,355000.0,2.0,0.0,0.0
2251,"RADIASOFT, LLC",355000.0,2.0,0.0,0.0
2252,"ICHOR BIOLOGICS, LLC",355000.0,2.0,0.0,2.0
2253,"IMMUNOTARGET THERAPEUTICS, INC.",355000.0,1.0,0.0,0.0
2254,"ELLISON INSTITUTE, LLC",355032.0,1.0,0.0,0.0
2255,"AVANTYX PHARMACEUTICALS, LLC",355723.0,1.0,0.0,0.0
2256,SACRED HEART UNIVERSITY,355842.0,1.0,0.0,0.0
2257,"FLUOROFINDER, LLC",356500.0,1.0,0.0,0.0
2258,"KADMON CORPORATION, LLC",356676.0,2.0,0.0,0.0
2259,SONOMA STATE UNIVERSITY,356987.0,1.0,0.0,10.0
2260,ASSN/MEDICAL EDUC & RES IN SUBS ABUSE,357000.0,9.0,0.0,0.0
2261,EMMANUEL COLLEGE,357300.0,1.0,0.0,0.0
2262,INTERNATIONAL MAMMALIAN GENOME SOCIETY,357840.0,9.0,0.0,10.0
2263,NORTHERN MICHIGAN UNIVERSITY,358204.0,1.0,0.0,3.0
2264,"SEAL ROCK THERAPEUTICS, INC.",358239.0,1.0,0.0,0.0
2265,"PROBARI, INC",359010.0,1.0,0.0,0.0
2266,MAYATECH CORPORATION,359398.0,1.0,0.0,0.0
2267,WINTHROP UNIVERSITY,360000.0,1.0,0.0,1.0
2268,MEDGENE LABS,360356.0,2.0,0.0,0.0
2269,"SMART SURFACE DESIGNS, LLC",360375.0,1.0,0.0,0.0
2270,TUBERCULOSIS RESEARCH CENTRE,360424.0,3.0,0.0,3.0
2271,LINSHOM MANAGEMENT LLC,360833.0,1.0,0.0,0.0
2272,LEGACY HEALTH SYSTEM,360938.0,1.0,0.0,0.0
2273,CENTRAL WASHINGTON UNIVERSITY,361065.0,1.0,0.0,2.0
2274,KENYATTA  NATIONAL  HOSPITAL,361237.0,3.0,0.0,0.0
2275,"AVIDENT HEALTH, LLC",361254.0,1.0,0.0,0.0
2276,"SYNTAXISBIO, INC.",361552.0,1.0,0.0,0.0
2277,NATIONAL CENTER FOR TUBERCULOSIS AND LUNG DISEASES JSC(JOINT STOCK COMPANY),361918.0,2.0,0.0,2.0
2278,PETRI BIO LLC,361931.0,2.0,0.0,0.0
2279,CALVIN UNIVERSITY,362411.0,1.0,0.0,3.0
2280,OCUVERA LLC,362570.0,3.0,0.0,0.0
2281,"KOGNITO SOLUTIONS, LLC",362904.0,2.0,0.0,0.0
2282,UNIVERSITY OF ST. THOMAS,362966.0,1.0,0.0,0.0
2283,"RESONANCE RESEARCH, INC.",363719.0,1.0,0.0,0.0
2284,"JANGOBIO, LLC",364157.0,1.0,0.0,0.0
2285,"MICROSURFACES, INC.",364547.0,1.0,0.0,1.0
2286,RIDER UNIVERSITY,364593.0,1.0,0.0,3.0
2287,"D AND E TECHNICAL, INC.",364683.0,3.0,0.0,0.0
2288,"SYNTHETIC BIODESIGN, LLC",364941.0,2.0,0.0,0.0
2289,UNIVERSITY OF WISCONSIN - GREEN BAY,365508.0,1.0,0.0,3.0
2290,ST. MICHAEL'S COLLEGE,365865.0,1.0,0.0,1.0
2291,"DIGITAL COGNITION TECHNOLOGIES, INC.",367017.0,1.0,0.0,0.0
2292,"HUSSMAN INSTITUTE FOR AUTISM, INC.",367500.0,2.0,0.0,2.0
2293,"RAINBIO, INC.",367624.0,1.0,0.0,0.0
2294,"GRASSROOTS BIOTECHNOLOGY, INC.",367711.0,1.0,0.0,0.0
2295,"ACETYLON PHARMACEUTICALS, INC.",367972.0,1.0,0.0,1.0
2296,AKNA HEALTH LLC,368190.0,1.0,0.0,0.0
2297,TRETHERA CORPORATION,368195.0,1.0,0.0,0.0
2298,WARREN STRESS MANAGEMENT,368424.0,2.0,0.0,1.0
2299,HUMANITAS INC,368818.0,1.0,0.0,0.0
2300,"SMARTMOVE, INC.",368908.0,2.0,0.0,0.0
2301,"OXFORD PERFORMANCE MATERIALS, INC.",368965.0,4.0,1.0,0.0
2302,"LPATH THERAPEUTICS, INC.",369218.0,2.0,0.0,2.0
2303,"ADHEREN, INC.",369473.0,2.0,0.0,1.0
2304,"MAVERIX BIOMICS, INC.",369607.0,2.0,0.0,2.0
2305,LEIBNIZ-INSTITUT FUR UMWELTMEDIZINISCHE FORSCHUNG AN DER HEINRICH-HEINE UIVERSITY,369797.0,1.0,0.0,0.0
2306,"ARES IMMUNOTHERAPY, INC.",369916.0,1.0,0.0,0.0
